310 tiles to resolve (0 already done)

  1/310 tiles, 0 labels set
  2/310 tiles, 0 labels set
  3/310 tiles, 1 labels set
  4/310 tiles, 2 labels set
  5/310 tiles, 2 labels set
  6/310 tiles, 3 labels set
  7/310 tiles, 7 labels set
  8/310 tiles, 8 labels set
  9/310 tiles, 12 labels set
  10/310 tiles, 12 labels set
  11/310 tiles, 17 labels set
  12/310 tiles, 17 labels set
  13/310 tiles, 17 labels set
  14/310 tiles, 17 labels set
  15/310 tiles, 17 labels set
  16/310 tiles, 17 labels set
  17/310 tiles, 20 labels set
  18/310 tiles, 21 labels set
  19/310 tiles, 21 labels set
  20/310 tiles, 22 labels set
  21/310 tiles, 23 labels set
  22/310 tiles, 25 labels set
  23/310 tiles, 27 labels set
  24/310 tiles, 30 labels set
  25/310 tiles, 39 labels set
  26/310 tiles, 45 labels set
  27/310 tiles, 46 labels set
  28/310 tiles, 46 labels set
  29/310 tiles, 46 labels set
  30/310 tiles, 46 labels set
  31/310 tiles, 46 labels set
  32/310 tiles, 48 labels set
  33/310 tiles, 48 labels set
  34/310 tiles, 49 labels set
  35/310 tiles, 51 labels set
  36/310 tiles, 52 labels set
  37/310 tiles, 52 labels set
  38/310 tiles, 63 labels set
  39/310 tiles, 68 labels set
  40/310 tiles, 78 labels set
  41/310 tiles, 79 labels set
  42/310 tiles, 80 labels set
  43/310 tiles, 81 labels set
  44/310 tiles, 89 labels set
  45/310 tiles, 103 labels set
  46/310 tiles, 109 labels set
  47/310 tiles, 109 labels set
  48/310 tiles, 109 labels set
  49/310 tiles, 109 labels set
  50/310 tiles, 113 labels set
  51/310 tiles, 113 labels set259 tiles to resolve (51 already done)

  1/259 tiles, 0 labels set
  2/259 tiles, 1 labels set
  3/259 tiles, 9 labels set
  4/259 tiles, 10 labels set
  5/259 tiles, 22 labels set
  6/259 tiles, 37 labels set
  7/259 tiles, 44 labels set
  8/259 tiles, 51 labels set
  9/259 tiles, 66 labels set
  10/259 tiles, 88 labels set
  11/259 tiles, 91 labels set
  12/259 tiles, 102 labels set
  13/259 tiles, 108 labels set
  14/259 tiles, 114 labels set
  15/259 tiles, 115 labels set
  16/259 tiles, 119 labels set
  17/259 tiles, 133 labels set
  18/259 tiles, 135 labels set
  19/259 tiles, 139 labels set
  20/259 tiles, 141 labels set
  21/259 tiles, 141 labels set
  22/259 tiles, 143 labels set
  23/259 tiles, 145 labels set
  24/259 tiles, 147 labels set
  25/259 tiles, 150 labels set
  26/259 tiles, 157 labels set
  27/259 tiles, 170 labels set
  28/259 tiles, 172 labels set
  29/259 tiles, 181 labels set
  30/259 tiles, 195 labels set
  31/259 tiles, 206 labels set
  32/259 tiles, 214 labels set
  33/259 tiles, 228 labels set
  34/259 tiles, 238 labels set
  35/259 tiles, 252 labels set
  36/259 tiles, 260 labels set
  37/259 tiles, 262 labels set
  38/259 tiles, 265 labels set
  39/259 tiles, 273 labels set
  40/259 tiles, 277 labels set
  41/259 tiles, 278 labels set
  42/259 tiles, 280 labels set
  43/259 tiles, 282 labels set
  44/259 tiles, 283 labels set
  45/259 tiles, 284 labels set
  46/259 tiles, 286 labels set
  47/259 tiles, 286 labels set
  48/259 tiles, 287 labels set
  49/259 tiles, 291 labels set
  50/259 tiles, 296 labels set
  51/259 tiles, 302 labels set
  52/259 tiles, 309 labels set
  53/259 tiles, 322 labels set
  54/259 tiles, 334 labels set
  55/259 tiles, 358 labels set
  56/259 tiles, 366 labels set
  57/259 tiles, 386 labels set
  58/259 tiles, 394 labels set
  59/259 tiles, 403 labels set
  60/259 tiles, 408 labels set
  61/259 tiles, 412 labels set
  62/259 tiles, 424 labels set
  63/259 tiles, 435 labels set
  64/259 tiles, 442 labels set
  65/259 tiles, 443 labels set
  66/259 tiles, 446 labels set
  67/259 tiles, 450 labels set
  68/259 tiles, 451 labels set
  69/259 tiles, 455 labels set
